[Tue Dec 05 11:27:52.632958 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:27:52.642883 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 17, referer: http://finance/
[Tue Dec 05 11:27:52.642926 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:27:52.642958 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:27:52.642973 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:27:52.704332 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 17, referer: http://finance/
[Tue Dec 05 11:27:52.704360 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP Stack trace:, referer: http://finance/
[Tue Dec 05 11:27:52.704382 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP   1. {main}() /home/sk/p/finance/www/index.php:0, referer: http://finance/
[Tue Dec 05 11:27:52.704390 2017] [:error] [pid 4837] [client 127.0.0.1:49756] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10, referer: http://finance/
[Tue Dec 05 11:39:22.368251 2017] [:error] [pid 4838] [client 127.0.0.1:49774] PHP Notice:  Use of undefined constant LOG_PATH - assumed 'LOG_PATH' in /home/sk/p/finance/www/app/Log.php on line 16
[Tue Dec 05 11:39:22.368310 2017] [:error] [pid 4838] [client 127.0.0.1:49774] PHP Stack trace:
[Tue Dec 05 11:39:22.368322 2017] [:error] [pid 4838] [client 127.0.0.1:49774] PHP   1. {main}() /home/sk/p/finance/www/index.php:0
[Tue Dec 05 11:39:22.368329 2017] [:error] [pid 4838] [client 127.0.0.1:49774] PHP   2. app\\Log::init() /home/sk/p/finance/www/index.php:10
